50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1f60fe1e-0340-49e2-975e-f16f54c5da1a,1,,,,3857276,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 15958, 'name': 'Milan Borjan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 44703, 'name': 'Alistair Johnston'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 11846, 'name': 'Steven de Sousa Vitoria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 23828, 'name': 'Kamal Miller'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 29758, 'name': 'Sam Adekugbe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 12770, 'name': 'Jonathan Osorio'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 16252, 'name': 'Mark Anthony Kaye'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 24024, 'name': 'Tajon Buchanan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 9922, 'name': 'David Junior Hoilett'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 16459, 'name': 'Cyle Larin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Canada,1833,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,d5ffdab0-a19a-497e-a0f6-d5403bfcc2b5,2,,,,3857276,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6785, 'name': 'Yassine Bounou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12149, 'name': 'Nayef Aguerd'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15890, 'name': 'Noussair Mazraoui'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5234, 'name': 'Sofyan Amrabat'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 46258, 'name': 'Azzedine Ounahi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3634, 'name': 'Abdelhamid Sabiri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5237, 'name': 'Hakim Ziyech'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6301, 'name': 'Youssef En-Nesyri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,c6dcab53-5a07-4a6e-ab8b-64e9f9133d19,3,,,,3857276,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,['396c6ebb-5ba7-415c-ba37-88ff51f7c737'],0,,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,396c6ebb-5ba7-415c-ba37-88ff51f7c737,4,,,,3857276,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada,1833,['c6dcab53-5a07-4a6e-ab8b-64e9f9133d19'],0,,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,f2023e55-3c53-44be-9826-8aa0a0ac355f,1713,,,,3857276,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Canada,1833,['ffe7e95d-9ded-4ba0-9d8f-e8ca18513419'],0,,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ffe7e95d-9ded-4ba0-9d8f-e8ca18513419,1714,,,,3857276,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Canada,1833,['f2023e55-3c53-44be-9826-8aa0a0ac355f'],0,,,,,,,,,,,,,,,,,,Canada,1833,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.83469,,,,,,,,,,05a57281-9295-408a-9c4f-e32d7fad4d96,5,,,"[61.0, 40.1]",3857276,0,,,,,3.045886,,Left Foot,,,"[48.5, 41.3]",,Ground Pass,,12.557467,,,,Sofyan Amrabat,5234.0,,,,,Kick Off,1,From Kick Off,Youssef En-Nesyri,6301.0,Center Forward,2,Morocco,788,['1267faf9-e033-4985-925a-2f9521d63bc0'],0,,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.460,Pass,
,,,,,,,,,,,,,,,,,,1.47092,,,,,,,,,,3a06bcce-1408-4a0b-be01-f6b93f142b30,8,,,"[48.4, 42.5]",3857276,0,,,,,2.3968697,,Right Foot,,,"[30.5, 59.0]",,Ground Pass,,24.344608,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,['d9f8538d-a5cd-4ed6-8f04-bd8394133fb1'],2,,,,,,,,,,,,,,,,,,Morocco,788,00:00:02.415,Pass,
,,,,,,,,,,,,,,,,,,2.262904,,,,,,,,,,1f1b0ef8-1a1d-45b3-bf9c-4299ea836377,11,,,"[30.9, 59.0]",3857276,0,,,,,-1.6050508,,Left Foot,,,"[29.8, 26.9]",,Ground Pass,,32.118843,,,,Romain Saïss,5219.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['9f6ff602-783e-4527-94d3-07e216ad29d9'],5,,,,,,,,,,,,,,,,,,Morocco,788,00:00:05.143,Pass,
,,,,,,,,,,,,,,,,,,1.788781,,,,,,,,,,84cdb79d-76e6-408a-bbc4-34026594624a,14,,,"[31.7, 26.2]",3857276,0,,,,,1.7818897,,Left Foot,,,"[24.8, 58.4]",,Ground Pass,,32.93099,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,['6a5e61b2-edd9-43d3-b731-451b73a76451'],8,,,,,,,,,,,,,,,,,,Morocco,788,00:00:08.720,Pass,
